id,name_ru,name_tr,date,link,length,id_l,id_d
MGL046,"ШАФРАН Гершон, сын~Шауля","SHAFRAN Gershon, son~of~Shaul",02.06.1904,sfira.ru/t/MGL046,1,MGL,046
MGL050,"БУХГАЛТЕР Йосеф, сын~Моше","BUCHGALTER Yosef, son~of~Moshe",27.11.1920,sfira.ru/t/MGL050,1,MGL,050
MGL052a,Неизвестный,Unknown,21.02.1915,sfira.ru/t/MGL052a,1,MGL,052a
MGL054,"Неизвестный, сын~Элиэзера","Unknown, son~of~Eliezer",1889/1900,sfira.ru/t/MGL054,1,MGL,054
MGL055,"Элияху, сын~Давида","Eliyahu, son~of~David",15.12.1899,sfira.ru/t/MGL055,1,MGL,055
MGL056,"Шнеур Залман, сын~Исраэля","Shneur Zalman, son~of~Israel",18.01.1888,sfira.ru/t/MGL056,1,MGL,056
MGL057,"Моше, сын~Авраама","Moshe, son~of~Avraham",11.03.1902,sfira.ru/t/MGL057,1,MGL,057
MGL058,"Шнеер Залман Аарон, сын~Яакова","Shneyer Zalman Aharon, son~of~Yaakov",12.03.1888,sfira.ru/t/MGL058,1,MGL,058
MGL059,"Леви Ицхак, сын~Калонимеса","Levi Itzhak, son~of~Kalonimes",13.09.1884,sfira.ru/t/MGL059,1,MGL,059
MGL003a,Неизвестный(-ая),Unknown,1901,sfira.ru/t/MGL003a,1,MGL,003a
MGL003b,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL003b,1,MGL,003b
MGL011,Неизвестный(-ая),Unknown,1886,sfira.ru/t/MGL011,1,MGL,011
MGL013b,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL013b,1,MGL,013b
MGL016a,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL016a,1,MGL,016a
MGL017,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL017,1,MGL,017
MGL026,"Неизвестный(-ая), сын(дочь) Йоши","Unknown, son(daughter) of Yosha",1871/1872,sfira.ru/t/MGL026,1,MGL,026
MGL028,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL028,1,MGL,028
MGL033,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL033,1,MGL,033
MGL034a,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL034a,1,MGL,034a
MGL034b,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL034b,1,MGL,034b
MGL038,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL038,1,MGL,038
MGL045b,Неизвестный(-ая),Unknown,1869/1870,sfira.ru/t/MGL045b,1,MGL,045b
MGL048,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL048,1,MGL,048
MGL051,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL051,1,MGL,051
MGL052,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL052,1,MGL,052
MGL053,Неизвестный(-ая),Unknown,"",sfira.ru/t/MGL053,1,MGL,053
